#{"t_start": 1626664554.518051, "env_id": "RockWalk-v0"}
r,l,t
189.973571,65,358.114917
70.665304,32,358.218927
143.492837,51,358.911901
882.125389,228,361.677149
330.004364,98,362.460051
62.942939,32,363.122952
150.446086,53,363.263523
268.609581,85,364.576457
208.121994,70,365.313385
101.578376,40,365.432588
163.146171,58,366.208508
254.748171,80,367.534978
570.138926,158,369.042924
276.26394,93,369.842376
83.279786,36,370.519224
256.374777,79,371.284437
459.730184,131,372.73373
61.652737,30,373.415057
222.981951,71,374.174263
206.671169,68,374.911892
156.375488,54,375.625308
62.191311,30,375.726189
181.792103,60,376.458752
38.163482,24,377.110127
266.134643,82,377.887827
49.516337,27,377.979071
422.338429,122,379.4123
192.687008,66,380.148746
60.81212,30,380.797369
342.785676,107,381.619711
89.036093,37,382.285455
493.383304,141,383.771044
272.779953,83,384.55364
155.204864,56,385.276703
45.711936,26,385.935453
114.512836,43,386.062488
66.445961,31,386.707734
402.888107,119,388.120728
258.805647,82,388.895845
105.713334,42,389.586264
730.623477,198,391.719073
63.334754,30,391.817891
26.903088,21,392.455253
129.222579,53,392.605195
156.860496,54,393.334718
229.687108,73,394.08432
99.003292,40,394.772628
189.257892,63,395.49833
812.914458,222,397.741968
152.003042,53,398.46853
112.064114,43,399.180315
294.405054,91,399.963207
352.143948,105,401.346364
177.650147,62,402.07572
86.162112,38,402.75195
125.970965,47,402.900046
54.235828,28,403.549522
93.36288,38,403.661376
173.663883,59,404.358217
229.82547,75,405.126388
133.56473,50,405.841406
292.325006,91,407.197936
158.156058,55,407.924761
108.941916,43,408.043404
109.157998,44,408.742374
172.382104,59,409.458373
112.31624,45,410.146286
160.749655,55,410.294803
153.803082,53,411.011065
58.008985,29,411.670318
64.851207,31,411.770037
188.648035,66,412.504852
323.104866,96,413.885016
230.188222,74,414.650073
77.822391,34,414.757088
285.502136,90,416.118788
248.333704,77,416.883842
147.086615,52,417.60153
183.56522,63,418.352757
84.386623,36,418.463732
187.469813,64,419.188678
94.016126,38,419.869171
145.495573,53,420.583912
79.936404,36,420.695099
39.145981,24,421.343042
164.488311,56,422.054489
53.656253,28,422.14681
120.46844,45,422.821489
50.238634,27,422.91508
230.624878,78,423.684201
241.567917,77,425.014645
218.865673,70,425.827474
166.080681,63,426.561639
57.838954,29,426.653223
438.769064,129,428.096296
116.404337,45,428.800545
232.221195,74,429.556375
